event_type,fields
EFIX,R 101007353 101007692 340 604.2 249.9 2733
SSACC,R 101007693
ESACC,R 101007693 101007703 11 603.6 249.0 571.5 252.5 0.54 57
SFIX,R 101007704
EFIX,R 101007704 101007873 170 564.3 255.7 2750
SSACC,R 101007874
SBLINK,R 101007894
EBLINK,R 101007894 101007965 72
ESACC,R 101007874 101008007 134 564.1 257.0 780.7 366.5 4.11 464
SFIX,R 101008008
EFIX,R 101008008 101008768 761 778.7 268.4 2658
SSACC,R 101008769
ESACC,R 101008769 101008814 46 771.7 272.8 420.1 -18.1 7.70 283
SFIX,R 101008815
EFIX,R 101008815 101009606 792 403.7 -26.0 1850
SSACC,R 101009607
ESACC,R 101009607 101009629 23 397.1 -25.4 524.1 -0.6 2.16 157
SFIX,R 101009630
EFIX,R 101009630 101009951 322 536.5 9.6 1673
SSACC,R 101009952
ESACC,R 101009952 101009998 47 541.2 9.7 531.0 438.4 7.27 246
SFIX,R 101009999
EFIX,R 101009999 101010536 538 526.2 478.0 2219
SSACC,R 101010537
ESACC,R 101010537 101010560 24 526.8 469.4 577.0 316.6 2.73 211
SFIX,R 101010561
EFIX,R 101010561 101010907 347 593.3 285.4 2632
SSACC,R 101010908
ESACC,R 101010908 101010932 25 596.4 279.9 702.3 263.3 1.81 97
SFIX,R 101010933
EFIX,R 101010933 101011160 228 709.3 263.6 2679
SSACC,R 101011161
ESACC,R 101011161 101011183 23 711.1 262.5 585.4 273.9 2.13 152
SFIX,R 101011184
EFIX,R 101011184 101011479 296 561.5 276.4 2857
SSACC,R 101011480
SBLINK,R 101011498
EBLINK,R 101011498 101011672 175
ESACC,R 101011480 101011715 236 560.0 278.2 146.2 320.1 6.84 360
SFIX,R 101011716
EFIX,R 101011716 101012248 533 138.4 290.2 2608
SSACC,R 101012249
ESACC,R 101012249 101012294 46 140.4 285.3 613.5 239.7 7.83 300
SFIX,R 101012295
EFIX,R 101012295 101012575 281 606.9 240.9 2816
SSACC,R 101012576
ESACC,R 101012576 101012585 10 606.0 239.9 573.8 247.5 0.56 63
SFIX,R 101012586
EFIX,R 101012586 101013234 649 565.2 251.2 2922
SSACC,R 101013235
ESACC,R 101013235 101013268 34 561.4 255.9 430.5 -20.7 5.18 272
SFIX,R 101013269
EFIX,R 101013269 101014261 993 405.6 -26.1 1869
SSACC,R 101014262
ESACC,R 101014262 101014293 32 401.0 -25.3 620.8 161.3 4.85 273
SFIX,R 101014294
EFIX,R 101014294 101014896 603 637.1 169.3 1993
SSACC,R 101014897
ESACC,R 101014897 101014921 25 641.4 166.6 743.9 269.6 2.47 153
SFIX,R 101014922
EFIX,R 101014922 101015290 369 751.7 277.5 2351
SSACC,R 101015291
ESACC,R 101015291 101015302 12 749.6 272.8 712.8 267.8 0.63 63
SFIX,R 101015303
EFIX,R 101015303 101016099 797 707.4 261.8 2652
SSACC,R 101016100
SBLINK,R 101016120
EBLINK,R 101016120 101016280 161
